UWI,lifetime_start,lifetime_end,FAILSTART,FAILURETYPE,H2S_CONCENTRATION,StrokeLength,gas_anchor_length,MAX_INCLINATION,wellbore_category,AVG_PRESS_FLOWLINE,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_DIFFERENTIAL_PRESSURE,AVG_OIL_VOLUME,AVG_WATER_VOLUME,AVG_LIQUID_VOLUME,AVG_WATERSG,rod_sinker_type,rod_has_guides,overall_max_sideload,shallow_max_sideload,max_unguided_sideload,ENDURALLOY_LENGTH,NIPPLE_SET_DEPTH,pump_bore
331-34-0937,30:00.0,00:00.0,00:00.0,Tubing,0,169.4299927,19.26,5.25,LowTangent,64.644487,75.098634,82.079516,7.02714,80.460123,26.444561,106.904684,1.04,SLICK_SINKER_BARS,FALSE,304.72,290.34,304.72,321.5,8996.1,2
500-66-4618,00:00.0,00:00.0,37:00.0,Tubing,0,144.0399933,17.18,1.52,Vertical,58.176987,78.65717,95.675472,16.722188,62.933886,24.432038,87.365924,1.04,SUCKER_RODS_W_GUIDES,FALSE,,,,128.7,9586.3,1.5
254-30-5629,30:00.0,30:00.0,,,0,168,17.09,0.55,Vertical,61.872795,110.252372,95.121457,-15.734269,164.490166,51.220099,215.710265,1.2,SLICK_SINKER_BARS,TRUE,20.64,12.77,20.64,0,8746.5,2
101-41-1583,00:00.0,15:00.0,42:00.0,Tubing,15,144.0399933,2.95,2.37,Vertical,49.737266,93.063237,37.854893,-47.358463,65.311344,108.827123,174.138467,1.04,SLICK_SINKER_BARS,FALSE,,,,223.6,10589.7,1.75
115-49-9901,00:00.0,00:00.0,00:00.0,Tubing,1.5,144.0399038,17.19,5.63,LowTangent,66.76187,104.460343,152.709705,64.525987,145.262537,100.015849,245.278386,1.04,SLICK_SINKER_BARS,TRUE,,,,0,10417.3,1.75
336-88-0341,57:00.0,00:00.0,57:00.0,Sucker Rod Pump,0,144,19.21,1.99,Vertical,72.381167,90.145681,112.252933,22.107252,128.836028,37.690531,166.526559,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,201.29,201.29,201.29,0,10131.2,1.75
363-06-6891,16:00.0,37:11.3,,,0,144,17.17,2.55,Vertical,68.005858,82.540476,69.957772,-12.570185,51.491398,94.343113,145.834512,1.19,SUCKER_RODS_W_GUIDES,FALSE,,,,195.5,10319.1,1.5
439-76-9265,00:00.0,37:11.3,,,0,144,17.1,1.55,Vertical,56.95549,125.905915,88.376852,-37.529063,34.835806,27.481267,62.317074,1.04,SLICK_SINKER_BARS,TRUE,,,,0,10547,1.5
361-61-3346,00:00.0,30:00.0,00:00.0,Tubing,0,144.0399933,19.19,1.97,Vertical,26.310918,28.269641,175.792245,147.677755,87.225962,32.478365,119.704327,1.04,SLICK_SINKER_BARS,FALSE,117.54,75.03,117.54,184.87,9836.4,2
641-71-5464,00:00.0,01:00.0,57:00.0,Tubing,2.5,119.1900024,19.97,2.1,Vertical,33.36,84.296341,72.659942,22.603949,33.673173,24.089887,57.763059,1.2,SUCKER_RODS_W_GUIDES,FALSE,74.21,64.4,74.21,261.32,9982,1.75
290-23-9957,00:00.0,16:00.0,00:00.0,Tubing,0,144,0,2.58,Vertical,,81.377622,82.91958,1.541958,81.178322,19.884615,101.062937,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,115.95,115.95,115.95,0,,1.5
267-13-4580,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,20.74,3.1,Vertical,,53.024404,113.090708,60.066305,44.485943,10.43876,54.97395,,SLICK_SINKER_BARS,FALSE,168.52,168.52,168.52,0,10097.4,1.5
110-03-2169,00:00.0,00:00.0,,,0,169.8200073,17.23,6.33,LowTangent,54.271214,60.100175,87.06157,26.479884,52.341329,60.131156,112.472486,1.19,SUCKER_RODS_W_GUIDES,FALSE,151.26,151.26,151.26,352.44,9709.1,1.75
219-24-3610,30:00.0,37:11.3,,,0,144.0399933,17.13,1.15,Vertical,52.589,55.549667,65.990667,10.441,91.864333,56.159833,148.024167,1.04,SUCKER_RODS_W_GUIDES,TRUE,75.99,26.66,75.99,194.22,9692.8,1.5
860-30-2347,00:00.0,37:11.3,,,0,144,19.27,1.97,Vertical,64.664807,77.687299,60.48435,-13.99613,50.297216,62.862249,113.159465,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,210.49,210.49,210.49,0,9961.1,1.5
684-10-6689,00:00.0,37:11.3,,,0,169.4299653,17.12,1.97,Vertical,54.089919,95.218825,115.512369,20.063017,49.76115,33.803284,83.564434,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,214.96,214.96,214.96,0,9657.7,1.75
545-98-9607,00:00.0,37:11.3,,,0,112,19.3,1.5,Vertical,28.661038,30.972976,26.824775,-4.148201,16.564637,3.445917,20.010554,1.2,SLICK_SINKER_BARS,FALSE,102.92,102.92,102.92,0,8473.8,Other
164-17-5284,00:00.0,45:00.0,29:00.0,Tubing,0,144,17.12,2.9,Vertical,62.771875,83.053002,138.424856,57.807695,121.234568,43.487654,164.722222,1.04,SLICK_SINKER_BARS,FALSE,,,,0,10021.5,1.75
869-64-7299,49:00.0,30:00.0,00:00.0,Tubing,0,168,17.15,2.19,Vertical,58.98247,68.986304,73.528391,12.625496,68.20229,55.946565,124.148855,1.04,SLICK_SINKER_BARS,FALSE,119.73,119.73,119.73,0,9952.1,1.75
465-52-2523,30:00.0,37:11.3,,,0,144,20.69,7.3,LowTangent,62.469841,63.829065,92.718149,29.318587,52.09076,23.252633,75.343392,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,411.86,411.86,411.86,0,10025.6,1.75
783-54-0077,00:00.0,37:11.3,,,0,144,17.1,1.08,Vertical,63.733498,70.516253,75.347186,1.099572,52.459914,7.56833,60.028244,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,,,,193.65,9968.6,1.75
314-38-0971,00:00.0,37:11.3,00:00.0,Sucker Rod Pump,0,144,19.24,3.8,Vertical,55.1706,59.0998,85.972093,15.913529,29.885,53.483,83.368,1.2,UNKNOWN,FALSE,210.78,210.78,210.78,126.66,10123.2,1.5
076-79-4878,00:00.0,00:00.0,,,1,144,19.61,1.58,Vertical,63.876894,76.788809,103.27406,24.97416,110.37416,47.474286,157.848445,1.04,SUCKER_RODS_W_GUIDES,FALSE,88.25,55.67,88.25,0,9987.1,1.75
707-62-1895,00:00.0,00:00.0,06:00.0,Sucker Rod Pump,0,169.3999939,19.26,3.9,Vertical,,78.290139,122.251136,43.960997,73.135243,28.221159,101.338703,1.04,SLICK_SINKER_BARS,FALSE,433.97,433.97,433.97,0,10092.6,1.5
772-78-1957,00:00.0,15:00.0,53:00.0,Rods,0,169.4299927,17.1,10.41,HighTangent,73.44894,115.802396,94.162375,-22.275613,119.611227,120.781705,240.392931,1.04,SLICK_SINKER_BARS,TRUE,305.94,305.94,305.94,0,9852,2
889-63-9827,45:00.0,30:00.0,51:00.0,Tubing,0,168,17.15,0,Vertical,56.490724,78.618469,68.960993,36.995033,58.313725,72.150327,130.464052,1.04,SLICK_SINKER_BARS,TRUE,371.58,371.58,371.58,0,9580.3,2
656-82-6108,00:00.0,00:00.0,54:00.0,Sucker Rod Pump,0,144.0399933,19.26,1.93,Vertical,,,,,41.357934,9.450185,50.808118,1.04,SUCKER_RODS_W_GUIDES,FALSE,,,,0,10528.2,1.5
681-68-7806,00:00.0,00:00.0,00:00.0,Tubing,0,146.5299988,17.13,9.06,LowTangent,68.286351,131.353586,790.403091,670.747376,230.143498,95.295964,325.439462,,SLICK_SINKER_BARS,TRUE,247.51,247.51,73.76,128.55,9298,1.75
195-69-0643,00:00.0,00:00.0,27:00.0,Sucker Rod Pump,0,144,19.38,1.6,Vertical,,10.102857,25.970206,15.77701,17.153061,6.869082,24.022143,,UNKNOWN,TRUE,,,,0,10142.8,1.75
135-43-8288,00:00.0,00:00.0,,,0,144,0,1.78,Vertical,,70.06962,120.338608,50.268987,85.041139,24.933544,109.974684,1.04,SLICK_SINKER_BARS,FALSE,,,,0,10450.4,1.75
545-51-5597,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,0,14.6,HighTangent,,0,0,0,43.25587,2.242339,45.507287,,SLICK_SINKER_BARS,FALSE,,,,0,8936.6,1.5
706-84-6010,00:00.0,49:00.0,17:00.0,Tubing,0,144,0,2.59,Vertical,72.518279,74.249147,185.023912,110.774765,170.094118,54.929412,225.023529,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,89.58,89.58,89.58,0,9733.9,1.75
123-08-5173,00:00.0,30:00.0,00:00.0,Tubing,0,168,19.28,1.4,Vertical,64.419769,69.380493,79.131816,9.751323,41.342607,8.944843,50.28745,1.2,SINKER_BARS_W_GUIDED_SUBS,FALSE,113.09,113.09,113.09,0,10314.3,1.5
010-76-9878,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,0,6.03,LowTangent,,92.833333,151.431818,58.598485,133.272727,32.356061,165.628788,,SINKER_BARS_W_GUIDED_SUBS,TRUE,321.24,321.24,321.24,0,10031.6,1.75
478-46-9452,15:00.0,30:00.0,,,0,144,19.25,1.37,Vertical,58.17931,73.306108,85.518227,12.563786,91.739558,26.422604,118.162162,1.04,SLICK_SINKER_BARS,FALSE,78.38,78.38,78.38,0,10094.5,1.5
508-52-5837,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,20.96,3.07,Vertical,,0,0,0,116.228602,2.593229,118.849128,,SLICK_SINKER_BARS,FALSE,,,,0,8827.9,1.5
455-59-1219,00:00.0,00:00.0,00:00.0,Tubing,0,144.0389408,17.11,2.96,Vertical,60.078497,71.165408,191.12,124.9324,88.815,36.44,125.255,1.04,SLICK_SINKER_BARS,FALSE,181.59,181.59,181.59,0,9609.2,1.5
514-69-0180,00:00.0,37:11.3,,,0,168.2599945,17.1,34.96,OffLease,40.619696,79.133522,40.252488,-41.204913,62.210435,72.774217,134.984652,1.04,UNKNOWN,TRUE,,,,0,12025,1.25
354-39-2775,00:00.0,37:11.3,,,0,145.5,0,1.83,Vertical,53.78853,88.924635,62.532367,-26.392268,52.486414,11.189082,63.675496,1.04,SLICK_SINKER_BARS,FALSE,53.14,47.72,53.14,0,9426.7,1.5
859-66-6410,00:00.0,00:00.0,19:00.0,Tubing,0,144,19.28,3.5,Vertical,,50.341852,121.933939,71.592088,77.944595,39.735152,117.542939,,SLICK_SINKER_BARS,TRUE,,,,0,10654.2,1.5
608-06-9958,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,20.9,2.68,Vertical,,33.104213,34.58887,-9.507021,56.081471,6.976113,63.003381,,SLICK_SINKER_BARS,FALSE,,,,0,8674,1.75
154-19-4786,00:00.0,00:00.0,00:00.0,Rods,0,144,17.16,3.5,Vertical,43.90117,69.6525,64.835892,-66.743321,106.796226,50.377358,157.173585,1.04,SLICK_SINKER_BARS,FALSE,,,,322.32,10298.3,1.75
860-23-4519,00:00.0,00:00.0,37:00.0,Tubing,0,144,20.7,2.27,Vertical,,81.498426,166.56537,85.066944,92.820495,189.29571,282.623406,,SLICK_SINKER_BARS,FALSE,215.14,215.14,215.14,0,10327.9,1.5
511-39-0778,00:00.0,30:00.0,00:00.0,Tubing,0,144.0399334,20.71,,Vertical,62.37041,67.759132,65.842375,-112.966483,33.356802,25.278274,58.635076,1.04,SLICK_SINKER_BARS,TRUE,172.94,172.94,0,0,9816.1,1.5
767-46-3279,00:00.0,00:00.0,00:00.0,Tubing,0,144,0,2.02,Vertical,,73.583486,163.62844,90.044954,76.816779,25.590826,102.363405,,SLICK_SINKER_BARS,FALSE,84.24,72.85,84.24,0,,1.5
521-32-8090,00:00.0,15:00.0,00:00.0,Rods,0,169.4299927,17.14,17.61,HighTangent,88.913251,124.093829,174.090938,60.191493,133.718808,45.469274,179.188082,1.04,SLICK_SINKER_BARS,TRUE,481.36,435.39,203.84,0,9504,1.75
663-12-3455,08:00.0,30:00.0,50:00.0,Sucker Rod Pump,0,144,17.24,3.88,Vertical,78.123027,94.022586,107.327249,13.304662,105.081638,44.059641,149.141279,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,,,,0,10326.4,1.75
101-41-1583,00:00.0,37:11.3,,,0,144.0399933,2.94,2.37,Vertical,49.08057,76.663389,54.585359,-30.375979,60.1165,58.614333,118.730833,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,,,,227.93,10559.5,1.75
202-17-9699,00:00.0,00:00.0,,,0,144,20.69,5.84,LowTangent,,12.461538,32.032967,19.571429,6.472527,5.351648,11.824176,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,,,,0,9683.6,1.5
437-65-5756,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,20.74,3.24,Vertical,,100.184541,117.100128,16.915587,95.533138,29.223801,124.756939,,SLICK_SINKER_BARS,FALSE,197.94,197.94,197.94,0,10058.2,1.5
292-26-5777,00:00.0,00:00.0,00:00.0,,0,144,40,1.6,Vertical,,67.733758,79.229627,11.49587,81.752414,21.186087,103.074765,,SLICK_SINKER_BARS,FALSE,,,,0,10001.6,1.5
717-45-3996,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,20.73,3,Vertical,,62.606383,87.429078,24.822695,44.153607,5.313156,49.503929,,SLICK_SINKER_BARS,TRUE,156.62,99.54,113.98,0,10186.3,1.25
296-22-0635,00:00.0,00:00.0,00:00.0,Tubing,0,144.0413102,17.1,1.54,Vertical,68.083118,133.207356,62.336692,-69.43117,98.634812,139.26297,237.897782,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,,,,0,9404.2,1.75
444-33-0650,45:00.0,00:00.0,00:00.0,Tubing,0,144,20.74,1.37,Vertical,,73.907268,105.05561,31.148341,113.145941,16.00078,129.268218,,SLICK_SINKER_BARS,FALSE,78.2,78.2,78.2,0,9643.7,1.5
336-88-0341,00:00.0,00:00.0,00:00.0,Tubing,0,144.0399933,17.05,1.99,Vertical,64.731069,74.797799,106.783679,31.818715,93.084639,65.043887,158.128527,1.04,SLICK_SINKER_BARS,FALSE,190.96,190.96,190.96,0,9027,1.75
610-57-8742,00:00.0,37:11.3,,,0,144,,2.37,Vertical,56.616182,98.774561,101.525357,-7.625789,90.524561,52.430351,142.954912,,SUCKER_RODS_W_GUIDES,TRUE,86.19,86.19,86.19,0,,1.5
424-25-8441,00:00.0,00:00.0,30:00.0,Tubing,0,144,19.3,4.68,LowTangent,7.829524,91.971498,123.855189,35.664505,84.655856,24.888288,109.544144,1.04,SLICK_SINKER_BARS,FALSE,266.66,241.87,266.66,0,9826.5,1.75
887-29-8974,30:00.0,00:00.0,00:00.0,Rods,0,144,17.15,14.37,HighTangent,62.630406,70.798141,70.220149,-1.703074,56.81125,15.327243,72.138493,1.04,SLICK_SINKER_BARS,TRUE,354.68,354.68,92.88,127.09,10077,1.75
432-62-5341,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,20.85,2.38,Vertical,,142.747748,87.927928,-53.101852,139.367632,13.842137,153.062368,,SLICK_SINKER_BARS,TRUE,263.13,263.13,95.12,0,10563.5,1.75
240-36-2352,00:00.0,37:11.3,,,0,144,0,5.98,LowTangent,49.40729,73.16,107.118056,34.978349,57.084404,25.804679,82.889083,1.04,SLICK_SINKER_BARS,TRUE,190.96,190.96,138.46,0,9676.2,1.5
303-98-9395,00:00.0,00:00.0,00:00.0,Tubing,0,144,20,1.58,Vertical,,111.970664,58.24418,-53.726484,185.212734,96.634844,281.847578,,SLICK_SINKER_BARS,FALSE,81.72,59.91,81.72,0,9919.6,1.75
277-67-0857,00:00.0,37:11.3,,,0,144.0399933,17.13,7.59,LowTangent,62.194776,91.367576,127.229254,37.729254,136.853971,43.600147,180.454118,1.04,UNKNOWN,FALSE,294.1,294.1,294.1,0,9635.1,1.75
786-98-0737,00:00.0,37:11.3,,,0,144.0399483,17.15,2.15,Vertical,67.323871,79.724554,71.386109,-8.671855,66.391348,10.38237,76.773718,1.04,SLICK_SINKER_BARS,TRUE,,,,0,9700.7,2
100-18-9193,00:00.0,00:00.0,00:00.0,Tubing,0,144.4567233,20.73,1.52,Vertical,,79.472527,82.397174,2.924647,54.551867,10.248963,64.80083,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,,,,0,9766.3,1.5
268-40-1175,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,40.58,1.94,Vertical,,0,4.016393,0,19.645896,4.29212,23.850142,,SLICK_SINKER_BARS,FALSE,,,,0,9210.5,1.75
135-75-8713,30:00.0,00:00.0,00:00.0,Tubing,0,144.1999969,17.25,1.87,Vertical,50.362689,59.885607,32.423808,-35.03683,35.120321,15.243316,50.363636,1.04,SLICK_SINKER_BARS,FALSE,146.31,102.15,146.31,0,10068,1.75
656-19-7813,00:00.0,00:00.0,,,0,144,20.73,2.14,Vertical,,128.401381,104.730552,-23.670829,173.120939,31.571768,204.692707,,SLICK_SINKER_BARS,FALSE,70.69,41.29,70.69,0,9786.5,1.5
503-19-1162,00:00.0,30:00.0,43:00.0,Tubing,0,169.4299927,0,1.54,Vertical,77.141489,136.138641,130.615301,-5.552489,190.408958,132.276696,322.685654,1.04,SLICK_SINKER_BARS,FALSE,,,,0,10355.6,1.75
673-61-5476,23:00.0,30:00.0,43:00.0,Tubing,0,128.6797386,17.13,1.64,Vertical,55.239526,87.615124,119.194112,31.564577,123.640609,20.205814,143.846422,1.04,SLICK_SINKER_BARS,FALSE,63.82,63.82,63.82,0,9295,1.75
064-54-5640,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,19.74,2.03,Vertical,74.658307,86.246479,55.944031,-30.302448,55.500354,57.698455,113.191431,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,,,,0,10151.7,1.5
189-33-7716,00:00.0,00:00.0,14:00.0,Tubing,0,144.1999969,19.26,1.8,Vertical,,104.36448,203.7852,99.42072,115.971687,59.76104,175.308755,,SLICK_SINKER_BARS,FALSE,76.74,51.78,76.74,0,10531.9,1.5
701-04-5390,00:00.0,00:00.0,51:00.0,Tubing,16,144.1989509,19.22,5,LowTangent,51.965712,63.847919,56.0754,-60.021698,34.007916,20.894738,54.902654,1.2,SLICK_SINKER_BARS,FALSE,,,,0,10322.5,Other
